"Time [ms]","InducedVoltage(phaseA) []"
0,-679.690205712595
0.5,-239.764086687888
1,200.16203233682
1.5,310.855108825032
2,-226.075119438692
2.5,-330.985680279991
3,237.858464484907
3.5,343.353605029713
4,-245.399398062948
4.5,-352.320244598268
5,251.142836215273
5.5,359.028363374702
6,-255.493573373621
6.5,-364.590605132656
7,259.237205918662
7.5,368.956802314431
8,-262.148592880577
8.5,-372.776159317747
9,264.782264157567
9.5,375.77257585516
10,-266.797543538336
10.5,-378.485650629952
11,268.695357499491
11.5,380.569227185854
12,-270.095549155113
12.5,-382.525349816209
13,271.47932145674
13.5,383.974199538037
14,-272.445489881394
14.5,-385.399376210211
15,273.464789216428
15.5,386.400273504887
16,-274.122224679464
16.5,-387.449485606521
17,274.881921805821
17.5,388.132282732132
18,-275.319182966484
18.5,-388.914072318223
19,275.893670394258
19.5,389.370230846169
20,-276.173757090923
20.5,-389.961335658963
21,276.616030675022
21.5,390.255736312297
22,-276.783880790023
22.5,-390.71065971751
23,277.131742658442
23.5,390.889450721267
24,-277.219429346672
24.5,-391.247028506574
25,277.498254373369
25.5,391.367174857698
26,-277.554605046998
26.5,-391.576824602506
27,277.69715238359
27.5,391.705540325978
28,-277.778627711012
28.5,-391.853357490023
29,277.888773990803
29.5,391.93701708599
30,-277.938313870157
30.5,-392.0512056922
31,278.02131375817
31.5,392.106648636426
32,-278.052190877691
32.5,-392.192768908493
33,278.119739754552
33.5,392.224173186758
34,-278.133302268504
34.5,-392.294238972449
35,278.185980830462
35.5,392.312285435471
36,-278.191221738361
36.5,-392.366820560514
37,278.237151051949
37.5,392.371450667929
38,-278.232424449119
38.5,-392.418905092124
39,278.269678779737
39.5,392.417781932236
40,-278.26187111145
40.5,-392.456127032803
41,278.29679742997
41.5,392.447029787433
42,-278.28276112216
42.5,-392.482891905353
43,278.312167172805
43.5,392.471938167062
44,-278.297719696627
44.5,-392.501981150933
45,278.327050059182
45.5,392.485842375702
46,-278.308278969562
46.5,-392.51575845594
47,278.3336959465
47.5,392.499760548368
48,-278.315873717666
48.5,-392.525543854606
49,278.342361839621
49.5,392.505790811945
50,-278.32118601372
50.5,-392.532655089395
51,278.344578549042
51.5,392.514067200752
52,-278.325043754726
52.5,-392.537663464199
53,278.350090774705
53.5,392.516053931487
54,-278.327695775301
54.5,-392.541350735429
55,278.350062916759
55.5,392.521431940963
56,-278.329660788101
56.5,-392.543904434021
57,278.353978727828
57.5,392.52134048718
58,-278.330967005583
58.5,-392.545831518828
59,278.352816057813
59.5,392.52522817915
60,-278.331975771309
60.5,-392.547122710187
61,278.355925878943
61.5,392.524067604124
62,-278.332603070183
62.5,-392.548144002981
63,278.354191171934
63.5,392.52718817818
64,-278.33313024632
64.5,-392.548785129282
65,278.356895432784
65.5,392.525476953666
66,-278.333416274208
66.5,-392.549339729876
67,278.354873466889
67.5,392.528202158285
68,-278.33370189221
68.5,-392.549645684193
69,278.357374535334
69.5,392.526206919578
70,-278.333817163404
70.5,-392.549959469859
71,278.355209023801
71.5,392.528728031683
72.0000000000001,-278.333982254872
72.5000000000001,-392.550092323084
73.0000000000001,278.357608859204
73.5000000000001,392.526586047898
74.0000000000001,-278.334012599829
74.5000000000001,-392.550281617812
75.0000000000001,278.35537207675
75.5000000000001,392.529001601218
76.0000000000001,-278.33411796862
76.5000000000001,-392.550324888426
77.0000000000001,278.357721848727
77.5000000000001,392.526783633039
78.0000000000001,-278.334106410965
78.5000000000001,-392.55044967965
79.0000000000001,278.355449981719
79.5000000000001,392.529144458991
80.0000000000001,-278.334182458705
80.5000000000001,-392.550446471977
81.0000000000001,278.35777524061
81.5000000000001,392.526887040989
82.0000000000001,-278.33415044804
82.5000000000001,-392.550537746839
83.0000000000001,278.355486302343
83.5000000000001,392.529219408743
84.0000000000001,-278.33421228136
84.5000000000001,-392.550510348809
85.0000000000001,278.357799721918
85.5000000000001,392.526941441042
86.0000000000001,-278.33417043525
86.5000000000001,-392.550584147488
87.0000000000001,278.355502610812
87.5000000000001,392.529258956086
88.0000000000001,-278.334225499032
88.5000000000001,-392.550544110217
89.0000000000001,278.357810422124
89.5000000000001,392.526970240156
90.0000000000001,-278.334179023336
90.5000000000001,-392.550608757026
91.0000000000001,278.355509489077
91.5000000000001,392.529279968157
92.0000000000001,-278.334230945911
92.5000000000001,-392.550562084284
93.0000000000001,278.357814719015
93.5000000000001,392.526985602254
94.0000000000001,-278.33418235982
94.5000000000001,-392.550621913109
95.0000000000001,278.355512061359
95.5000000000001,392.52929122498
96.0000000000001,-278.33423288233
96.5000000000001,-392.550571736463
97.0000000000001,278.357816155741
97.5000000000001,392.526993870865
98.0000000000001,-278.334183382587
98.5000000000001,-392.550629012566
99.0000000000001,278.355512764329
99.5000000000001,392.529297314687
100,-278.33423332183
