"Time [ms]","InducedVoltage(phaseB) []"
0,-139.94351876069
0.5,38.8157999407005
1,217.575118642091
1.5,-304.289205696196
2,-228.567538178173
2.5,328.632547268857
3,235.6866151532
3.5,-342.663678022876
4,-241.261889684919
4.5,352.649169143083
5,245.474514315262
5.5,-359.964223643737
6,-249.202454411379
6.5,366.009927432874
7,252.073887275754
7.5,-370.691962271852
8,-254.734909507179
8.5,374.800643067019
9,256.739857411783
9.5,-377.983622733555
10,-258.68219110592
10.5,380.893438560286
11,260.080076770035
11.5,-383.092514576096
12,-261.512015743438
12.5,385.190458595462
13,262.475662387995
13.5,-386.710428458645
14,-263.54154956257
14.5,388.241822116636
15,264.19333466193
15.5,-389.284419718654
16,-264.996337096631
16.5,390.415770510453
17,265.424165520198
17.5,-391.120157006834
18,-266.038481776241
18.5,391.967452363309
19,266.30562037321
19.5,-392.431243357491
20,-266.784629503973
20.5,393.076213363467
21,266.936576442059
21.5,-393.368447583094
22,-267.318629455259
22.5,393.869037471661
23,267.388058328954
23.5,-394.038762036238
24,-267.700681772966
24.5,394.43619975979
25,267.693634573034
25.5,-394.496684880701
26,-267.971128081362
26.5,394.833135310032
27,267.988010712988
27.5,-394.906764865249
28,-268.162989879899
28.5,395.128422099618
29,268.151460153446
29.5,-395.155520784591
30,-268.302108582495
30.5,395.338444228238
31,268.269514187797
31.5,-395.333009648003
32,-268.402172740377
32.5,395.488580464135
33,268.354172384369
33.5,-395.459958752208
34,-268.473822208325
34.5,395.595993419393
35,268.414800165412
35.5,-395.550853701962
36,-268.525127242328
36.5,395.672944760976
37,268.458143946654
37.5,-395.615938973769
38,-268.56178039514
38.5,395.728024697254
39,268.489159821557
39.5,-395.662572829388
40,-268.58802312483
40.5,395.76752119374
41,268.51130907751
41.5,-395.695973403427
42,-268.606744801233
42.5,395.795784552422
43,268.527164830141
43.5,-395.719919320227
44,-268.620163888297
44.5,395.816077155321
45,268.538473926098
45.5,-395.737071287239
46,-268.629717112578
46.5,395.830586109751
47,268.546580034476
47.5,-395.749378657928
48,-268.636582135829
48.5,395.841026051897
49,268.552349618427
49.5,-395.758193019736
50,-268.641450696919
50.5,395.848476268848
51,268.556496408149
51.5,-395.764526626907
52,-268.644967527912
52.5,395.853858336643
53,268.559436301761
53.5,-395.769060166437
54,-268.647443239345
54.5,395.857683731193
55,268.561560852268
55.5,-395.772325532694
56,-268.649250063455
56.5,395.860467467407
57,268.563055616329
57.5,-395.774659449313
58,-268.650503796681
58.5,395.862429888534
59,268.564147487845
59.5,-395.776347499354
60,-268.651437418269
60.5,395.86387752581
61,268.564904324721
61.5,-395.777550008219
62,-268.652067188631
62.5,395.864881406605
63,268.565468899171
63.5,-395.77842622072
64,-268.652554949654
64.5,395.865641116322
65,268.565848947197
65.5,-395.779045966525
66,-268.652866121721
66.5,395.866151072885
67,268.566144276324
67.5,-395.779503661824
68,-268.653126215707
68.5,395.866555976755
69,268.566331920098
69.5,-395.77982268793
70,-268.653274691389
70.5,395.866810919388
71,268.566489747312
71.5,-395.780064175889
72.0000000000001,-268.653418510046
72.5000000000001,395.867032417289
73.0000000000001,268.566579115711
73.5000000000001,-395.780227649841
74.0000000000001,-268.653483876487
74.5000000000001,395.867155357626
75.0000000000001,268.566666694608
75.5000000000001,-395.780357137824
76.0000000000001,-268.653568282963
76.5000000000001,395.867281771434
77.0000000000001,268.56670583984
77.5000000000001,-395.780439898903
78.0000000000001,-268.653591169162
78.5000000000001,395.867336156613
79.0000000000001,268.566757504307
79.5000000000001,-395.780511163244
80.0000000000001,-268.653645194099
80.5000000000001,395.867413090173
81.0000000000001,268.566770959901
81.5000000000001,-395.780551876569
82.0000000000001,-268.653646344486
82.5000000000001,395.867431719822
83.0000000000001,268.566804241692
83.5000000000001,-395.78059273635
84.0000000000001,-268.653684812991
84.5000000000001,395.867482781206
85.0000000000001,268.56680453748
85.5000000000001,-395.78061143314
86.0000000000001,-268.653674824129
86.5000000000001,395.8674826621
87.0000000000001,268.566828393423
87.5000000000001,-395.780636325189
88.0000000000001,-268.653705311378
88.5000000000001,395.867520113925
89.0000000000001,268.566821933281
89.5000000000001,-395.780643420617
90.0000000000001,-268.653689599906
90.5000000000001,395.867510097438
91.0000000000001,268.566840943184
91.5000000000001,-395.780659867229
92.0000000000001,-268.653715980478
92.5000000000001,395.867540336694
93.0000000000001,268.566831003688
93.5000000000001,-395.780660801315
94.0000000000001,-268.653697318953
94.5000000000001,395.867525052196
95.0000000000001,268.566847512737
95.5000000000001,-395.780672742238
96.0000000000001,-268.653721577796
96.5000000000001,395.867551434195
97.0000000000001,268.566835773344
97.5000000000001,-395.780670372826
98.0000000000001,-268.653701388134
98.5000000000001,395.867533317689
99.0000000000001,268.566850985034
99.5000000000001,-395.78067988481
100,-268.653724545595
