"Time [s]","energy1 []"
0,1.83043530641689
0.01,1.8324943677328
0.02,1.83960896444602
0.03,1.85612314851252
0.04,1.89580347498475
0.05,2.00369632656356
0.06,2.34336914785384
0.07,2.92843448785241
0.0800000000000001,3.73989774594574
0.0900000000000001,4.7565905323361
0.1,5.9207615165031
0.11,5.5122916886377
0.12,4.37252185346196
0.13,3.42022867471096
0.14,2.67499380329569
0.15,2.16059484913968
0.16,1.92330440887027
0.17,1.85205316395515
0.18,1.82678722291776
0.19,1.81499645627166
0.2,1.8128017681978
0.21,1.81831799924474
0.22,1.83202097109635
0.23,1.86950040218407
0.24,1.97524980526691
0.25,2.31424808992438
0.26,2.91026727836281
0.27,3.73446337289393
0.28,4.76209514279087
0.29,5.93429135694926
0.3,5.48942480402847
0.31,4.34307904164614
0.32,3.3871422447106
0.33,2.63479274327057
0.34,2.11593543991378
0.35,1.89788840683336
0.36,1.83662388932715
0.37,1.81485470310301
0.38,1.81430907250831
0.39,1.83149212523652
0.4,1.88788378451377
0.41,2.07428049242985
0.42,2.56369678544919
0.43,3.2879921111918
0.44,4.22881704327076
0.45,5.36481831521759
0.46,6.02353539412329
0.47,4.86423640862623
0.48,3.79853748525668
0.49,2.93908534813957
0.5,2.30098910609444
0.51,1.9407185380823
0.52,1.84262358389243
0.53,1.81455547969261
0.54,1.81840838614218
0.55,1.85509506284418
0.56,1.99292012528954
0.57,2.43490342351303
0.58,3.13289361551615
0.59,4.04670819422126
0.6,5.16366948722719
0.61,6.12156850269241
0.62,5.0412425585974
0.63,3.94124807023881
0.64,3.03618892692787
0.65,2.35106807095958
0.66,1.94517563332923
0.67,1.83775911521357
0.68,1.81274409103456
0.69,1.82927073102572
0.7,1.9187489500293
0.71,2.2675077716011
0.72,2.91324004837883
0.73,3.78676486545845
0.74,4.86761628402536
0.75,6.03856241442
0.76,5.3263256158518
0.77,4.17164643818543
0.78,3.21152957140875
0.790000000000001,2.46512446652348
0.800000000000001,1.97468010522758
0.810000000000001,1.84016332296848
0.820000000000001,1.81228864351127
0.830000000000001,1.83822504930033
0.840000000000001,1.97760451961227
0.850000000000001,2.46261917466159
0.860000000000001,3.21039903764827
0.870000000000001,4.17461656430832
0.880000000000001,5.33548428088577
0.890000000000001,6.02615587865329
0.900000000000001,4.84390251520764
0.910000000000001,3.75075159712416
0.920000000000001,2.86382498669266
0.930000000000001,2.2019611495328
0.940000000000001,1.88074817260906
0.950000000000001,1.81606117566662
0.960000000000001,1.82501587248156
0.970000000000001,1.92930505616344
0.980000000000001,2.35973839513557
0.990000000000001,3.09084913073982
1,4.03932346137725
